Time,bees
28/11/23 11:18:18,299
28/11/23 11:18:18,300
28/11/23 11:18:19,299
28/11/23 11:18:19,298
28/11/23 11:18:21,297
28/11/23 11:18:21,296
28/11/23 11:18:22,295
28/11/23 11:18:22,294
28/11/23 11:18:23,293
28/11/23 11:18:23,292
28/11/23 11:18:23,291
28/11/23 11:18:24,290
28/11/23 11:18:24,289
28/11/23 11:18:25,288
28/11/23 11:18:25,287
28/11/23 11:18:25,286
28/11/23 11:18:26,285
28/11/23 11:18:26,284
28/11/23 11:18:27,283
28/11/23 11:18:27,282
28/11/23 11:18:28,281
28/11/23 11:18:29,280
28/11/23 11:18:30,281
28/11/23 11:18:30,280
28/11/23 11:18:31,279
28/11/23 11:18:31,280
28/11/23 11:18:32,279
28/11/23 11:18:32,280
28/11/23 11:18:33,279
28/11/23 11:18:33,278
28/11/23 11:18:34,277
28/11/23 11:18:34,276
28/11/23 11:18:34,275
28/11/23 11:18:35,274
28/11/23 11:18:35,273
28/11/23 11:18:35,272
28/11/23 11:18:36,273
28/11/23 11:18:36,274
28/11/23 11:18:37,275
28/11/23 11:18:37,274
28/11/23 11:18:38,273
28/11/23 11:18:38,272
28/11/23 11:18:38,271
28/11/23 11:18:39,270
28/11/23 11:18:39,271
28/11/23 11:18:40,272
28/11/23 11:18:40,273
28/11/23 11:18:40,272
28/11/23 11:18:41,271
28/11/23 11:18:41,270
28/11/23 11:18:42,271
28/11/23 11:18:42,272
28/11/23 11:18:43,271
28/11/23 11:18:44,270
28/11/23 11:18:44,269
28/11/23 11:18:44,268
28/11/23 11:18:45,267
28/11/23 11:18:45,266
28/11/23 11:18:46,267
28/11/23 11:18:46,268
28/11/23 11:18:47,267
28/11/23 11:18:48,266
28/11/23 11:18:50,265
28/11/23 11:18:50,264
28/11/23 11:18:51,263
28/11/23 11:18:51,262
28/11/23 11:18:52,261
28/11/23 11:18:52,260
28/11/23 11:18:52,259
28/11/23 11:18:53,258
28/11/23 11:18:53,257
28/11/23 11:18:54,256
28/11/23 11:18:54,257
28/11/23 11:18:55,258
28/11/23 11:18:55,259
28/11/23 11:18:55,260
28/11/23 11:18:56,259
28/11/23 11:18:56,260
28/11/23 11:18:56,259
28/11/23 11:18:57,258
28/11/23 11:18:57,257
28/11/23 11:18:57,256
28/11/23 11:18:58,255
28/11/23 11:18:58,254
28/11/23 11:18:59,253
28/11/23 11:18:59,252
28/11/23 11:18:59,251
28/11/23 11:19:00,250
28/11/23 11:19:00,249
28/11/23 11:19:01,248
28/11/23 11:19:01,247
28/11/23 11:19:02,246
28/11/23 11:19:04,245
28/11/23 11:19:05,244
28/11/23 11:19:06,243
28/11/23 11:19:07,242
28/11/23 11:19:08,243
28/11/23 11:19:08,244
28/11/23 11:19:09,243
28/11/23 11:19:09,242
28/11/23 11:19:10,241
28/11/23 11:19:11,240
28/11/23 11:19:11,239
28/11/23 11:19:12,238
28/11/23 11:19:13,239
28/11/23 11:19:14,240
28/11/23 11:19:14,239
28/11/23 11:19:16,238
28/11/23 11:19:17,237
28/11/23 11:19:17,236
28/11/23 11:19:17,235
28/11/23 11:19:18,234
28/11/23 11:19:18,235
28/11/23 11:19:19,234
28/11/23 11:19:19,233
28/11/23 11:19:20,234
28/11/23 11:19:20,233
28/11/23 11:19:21,232
28/11/23 11:19:21,231
28/11/23 11:19:21,230
28/11/23 11:19:22,229
28/11/23 11:19:22,228
28/11/23 11:19:23,227
28/11/23 11:19:23,226
28/11/23 11:19:23,225
28/11/23 11:19:25,224
28/11/23 11:19:26,223
28/11/23 11:19:27,224
28/11/23 11:19:27,225
28/11/23 11:19:27,226
28/11/23 11:19:28,225
28/11/23 11:19:28,224
28/11/23 11:19:29,225
28/11/23 11:19:30,226
28/11/23 11:19:30,227
28/11/23 11:19:30,228
28/11/23 11:19:31,229
28/11/23 11:19:32,230
28/11/23 11:19:32,231
28/11/23 11:19:32,232
28/11/23 11:19:33,233
28/11/23 11:19:34,234
28/11/23 11:19:34,235
28/11/23 11:19:37,236
28/11/23 11:19:37,237
28/11/23 11:19:38,238
28/11/23 11:19:38,239
28/11/23 11:19:39,240
28/11/23 11:19:39,241
28/11/23 11:19:39,242
28/11/23 11:19:41,241
28/11/23 11:19:41,242
28/11/23 11:19:43,241
28/11/23 11:19:45,240
28/11/23 11:19:45,239
28/11/23 11:19:46,238
28/11/23 11:19:47,237
28/11/23 11:19:47,236
28/11/23 11:19:48,235
28/11/23 11:19:48,236
28/11/23 11:19:49,237
28/11/23 11:19:50,238
28/11/23 11:19:51,237
28/11/23 11:19:51,236
28/11/23 11:19:51,235
